areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
region,London,E12000007,2022-04-04,651,6449974,1491,5998364,2342,4282628
region,London,E12000007,2022-04-03,284,6449323,805,5996873,910,4280286
region,London,E12000007,2022-04-02,764,6449039,2314,5996068,2784,4279376
region,London,E12000007,2022-04-01,750,6448275,1986,5993754,2542,4276592
region,London,E12000007,2022-03-31,645,6447525,1558,5991768,2168,4274050
region,London,E12000007,2022-03-30,613,6446880,1573,5990210,2390,4271882
region,London,E12000007,2022-03-29,533,6446267,1589,5988637,2465,4269492
region,London,E12000007,2022-03-28,590,6445734,1603,5987048,2659,4267027
region,London,E12000007,2022-03-27,241,6445144,928,5985445,1047,4264368
region,London,E12000007,2022-03-26,929,6444903,3180,5984517,3321,4263321
region,London,E12000007,2022-03-25,771,6443974,2205,5981337,3076,4260000
region,London,E12000007,2022-03-24,595,6443203,1639,5979132,2409,4256924
region,London,E12000007,2022-03-23,610,6442608,1457,5977493,2487,4254515
region,London,E12000007,2022-03-22,618,6441998,1722,5976036,2707,4252028
region,London,E12000007,2022-03-21,673,6441380,1710,5974314,2802,4249321
region,London,E12000007,2022-03-20,388,6440707,1276,5972604,1478,4246519
region,London,E12000007,2022-03-19,958,6440319,3470,5971328,3742,4245041
region,London,E12000007,2022-03-18,764,6439361,2571,5967858,3264,4241299
region,London,E12000007,2022-03-17,628,6438597,1854,5965287,2475,4238035
region,London,E12000007,2022-03-16,615,6437969,1810,5963433,2535,4235560
region,London,E12000007,2022-03-15,768,6437354,2366,5961623,3075,4233025
region,London,E12000007,2022-03-14,796,6436586,2243,5959257,3160,4229950
region,London,E12000007,2022-03-13,380,6435790,1435,5957014,1648,4226790
region,London,E12000007,2022-03-12,1177,6435410,3765,5955579,4446,4225142
region,London,E12000007,2022-03-11,841,6434233,2738,5951814,3501,4220696
region,London,E12000007,2022-03-10,726,6433392,1857,5949076,2660,4217195
region,London,E12000007,2022-03-09,692,6432666,1686,5947219,2634,4214535
region,London,E12000007,2022-03-08,737,6431974,2148,5945533,2859,4211901
region,London,E12000007,2022-03-07,727,6431237,1881,5943385,3016,4209042
region,London,E12000007,2022-03-06,415,6430510,1240,5941504,1866,4206026
region,London,E12000007,2022-03-05,1052,6430095,3295,5940264,4648,4204160
region,London,E12000007,2022-03-04,1028,6429043,2586,5936969,3800,4199512
region,London,E12000007,2022-03-03,758,6428015,1795,5934383,2770,4195712
region,London,E12000007,2022-03-02,813,6427257,1690,5932588,2832,4192942
region,London,E12000007,2022-03-01,841,6426444,2069,5930898,2983,4190110
region,London,E12000007,2022-02-28,816,6425603,2092,5928829,3638,4187127
region,London,E12000007,2022-02-27,513,6424787,1343,5926737,2114,4183489
region,London,E12000007,2022-02-26,1341,6424274,3498,5925394,5188,4181375
region,London,E12000007,2022-02-25,1200,6422933,3049,5921896,4741,4176187
region,London,E12000007,2022-02-24,910,6421733,2141,5918847,3203,4171446
region,London,E12000007,2022-02-23,1057,6420823,2647,5916706,3842,4168243
region,London,E12000007,2022-02-22,1144,6419766,2632,5914059,4200,4164401
region,London,E12000007,2022-02-21,956,6418622,1983,5911427,4204,4160201
region,London,E12000007,2022-02-20,536,6417666,1289,5909444,1982,4155997
region,London,E12000007,2022-02-19,1318,6417130,3011,5908155,5299,4154015
region,London,E12000007,2022-02-18,816,6415812,1898,5905144,3524,4148716
region,London,E12000007,2022-02-17,1426,6414996,2751,5903246,4841,4145192
region,London,E12000007,2022-02-16,1180,6413570,2417,5900495,4992,4140351
region,London,E12000007,2022-02-15,1363,6412390,2530,5898078,5053,4135359
region,London,E12000007,2022-02-14,1227,6411027,2456,5895548,5329,4130306
region,London,E12000007,2022-02-13,713,6409800,1829,5893092,2605,4124977
region,London,E12000007,2022-02-12,1804,6409087,4222,5891263,7757,4122372
region,London,E12000007,2022-02-11,1521,6407283,3835,5887041,7654,4114615
region,London,E12000007,2022-02-10,1167,6405762,2847,5883206,4844,4106961
region,London,E12000007,2022-02-09,1416,6404595,3144,5880359,4701,4102117
region,London,E12000007,2022-02-08,1374,6403179,2759,5877215,5165,4097416
region,London,E12000007,2022-02-07,1392,6401805,2773,5874456,5718,4092251
region,London,E12000007,2022-02-06,802,6400413,2079,5871683,3102,4086533
region,London,E12000007,2022-02-05,1840,6399611,4440,5869604,7451,4083431
region,London,E12000007,2022-02-04,1670,6397771,3358,5865164,6232,4075980
region,London,E12000007,2022-02-03,1533,6396101,2740,5861806,6096,4069748
region,London,E12000007,2022-02-02,1716,6394568,2843,5859066,5764,4063652
region,London,E12000007,2022-02-01,1718,6392852,2925,5856223,6034,4057888
region,London,E12000007,2022-01-31,1846,6391134,2907,5853298,6824,4051854
region,London,E12000007,2022-01-30,1498,6389288,3057,5850391,4412,4045030
region,London,E12000007,2022-01-29,3128,6387790,6109,5847334,10577,4040618
region,London,E12000007,2022-01-28,2646,6384662,4438,5841225,8992,4030041
region,London,E12000007,2022-01-27,2239,6382016,3539,5836787,7999,4021049
region,London,E12000007,2022-01-26,2103,6379777,3284,5833248,8448,4013050
region,London,E12000007,2022-01-25,2067,6377674,3431,5829964,8515,4004602
region,London,E12000007,2022-01-24,2008,6375607,4015,5826533,9471,3996087
region,London,E12000007,2022-01-23,1344,6373599,3581,5822518,5966,3986616
region,London,E12000007,2022-01-22,3376,6372255,7134,5818937,14525,3980650
region,London,E12000007,2022-01-21,2774,6368879,4660,5811803,11879,3966125
region,London,E12000007,2022-01-20,2437,6366105,3638,5807143,10204,3954246
region,London,E12000007,2022-01-19,2506,6363668,3261,5803505,10364,3944042
region,London,E12000007,2022-01-18,2501,6361162,3277,5800244,11240,3933678
region,London,E12000007,2022-01-17,2412,6358661,3505,5796967,11663,3922438
region,London,E12000007,2022-01-16,1795,6356249,3610,5793462,8356,3910775
region,London,E12000007,2022-01-15,4254,6354454,7331,5789852,19663,3902419
region,London,E12000007,2022-01-14,3314,6350200,4468,5782521,17677,3882756
region,London,E12000007,2022-01-13,2796,6346886,3775,5778053,17566,3865079
region,London,E12000007,2022-01-12,2787,6344090,3839,5774278,17894,3847513
region,London,E12000007,2022-01-11,2672,6341303,3336,5770439,19914,3829619
region,London,E12000007,2022-01-10,2544,6338631,3032,5767103,20950,3809705
region,London,E12000007,2022-01-09,2181,6336087,3162,5764071,16493,3788755
region,London,E12000007,2022-01-08,4518,6333906,6977,5760909,34173,3772262
region,London,E12000007,2022-01-07,3383,6329388,4768,5753932,29106,3738089
region,London,E12000007,2022-01-06,3544,6326005,4326,5749164,29606,3708983
region,London,E12000007,2022-01-05,3719,6322461,4643,5744838,30542,3679377
region,London,E12000007,2022-01-04,4341,6318742,5249,5740195,29273,3648835
region,London,E12000007,2022-01-03,2717,6314401,3107,5734946,16676,3619562
region,London,E12000007,2022-01-02,1761,6311684,1818,5731839,13086,3602886
region,London,E12000007,2022-01-01,587,6309923,612,5730021,4115,3589800
region,London,E12000007,2021-12-31,2418,6309336,2758,5729409,19879,3585685
region,London,E12000007,2021-12-30,5225,6306918,5156,5726651,40959,3565806
region,London,E12000007,2021-12-29,5674,6301693,5710,5721495,48110,3524847
region,London,E12000007,2021-12-28,3627,6296019,3585,5715785,31164,3476737
region,London,E12000007,2021-12-27,3533,6292392,3185,5712200,32663,3445573
region,London,E12000007,2021-12-26,605,6288859,542,5709015,6033,3412910
region,London,E12000007,2021-12-25,261,6288254,234,5708473,2419,3406877
region,London,E12000007,2021-12-24,2832,6287993,2714,5708239,28741,3404458
region,London,E12000007,2021-12-23,6066,6285161,5707,5705525,68980,3375717
region,London,E12000007,2021-12-22,6380,6279095,6526,5699818,92346,3306737
region,London,E12000007,2021-12-21,6383,6272715,6419,5693292,103737,3214391
region,London,E12000007,2021-12-20,6306,6266332,6507,5686873,92633,3110654
region,London,E12000007,2021-12-19,5850,6260026,5160,5680366,101147,3018021
region,London,E12000007,2021-12-18,7782,6254176,6940,5675206,118995,2916874
region,London,E12000007,2021-12-17,6467,6246394,5682,5668266,99920,2797879
region,London,E12000007,2021-12-16,5789,6239927,5592,5662584,108356,2697959
region,London,E12000007,2021-12-15,4989,6234138,5253,5656992,97818,2589603
region,London,E12000007,2021-12-14,4513,6229149,4929,5651739,86569,2491785
region,London,E12000007,2021-12-13,3341,6224636,3784,5646810,67124,2405216
region,London,E12000007,2021-12-12,2875,6221295,3345,5643026,49022,2338092
region,London,E12000007,2021-12-11,4705,6218420,6442,5639681,71484,2289070
region,London,E12000007,2021-12-10,4162,6213715,5085,5633239,49394,2217586
region,London,E12000007,2021-12-09,3684,6209553,4989,5628154,52985,2168192
region,London,E12000007,2021-12-08,3246,6205869,4552,5623165,42087,2115207
region,London,E12000007,2021-12-07,2889,6202623,4240,5618613,36281,2073120
region,London,E12000007,2021-12-06,2799,6199734,3827,5614373,33685,2036839
region,London,E12000007,2021-12-05,2427,6196935,3234,5610546,25655,2003154
region,London,E12000007,2021-12-04,5258,6194508,7297,5607312,50657,1977499
region,London,E12000007,2021-12-03,4131,6189250,5329,5600015,40729,1926842
region,London,E12000007,2021-12-02,3725,6185119,4919,5594686,39259,1886113
region,London,E12000007,2021-12-01,3428,6181394,5448,5589767,39158,1846854
region,London,E12000007,2021-11-30,3883,6177966,5366,5584319,36196,1807696
region,London,E12000007,2021-11-29,2930,6174083,4830,5578953,29066,1771500
region,London,E12000007,2021-11-28,2453,6171153,4228,5574123,21825,1742434
region,London,E12000007,2021-11-27,4204,6168700,6759,5569895,46988,1720609
region,London,E12000007,2021-11-26,3561,6164496,4982,5563136,36951,1673621
region,London,E12000007,2021-11-25,3356,6160935,4222,5558154,34786,1636670
region,London,E12000007,2021-11-24,3154,6157579,4209,5553932,36416,1601884
region,London,E12000007,2021-11-23,3316,6154425,4034,5549723,31080,1565468
region,London,E12000007,2021-11-22,3307,6151109,3528,5545689,27676,1534388
region,London,E12000007,2021-11-21,1694,6147802,1898,5542161,16747,1506712
region,London,E12000007,2021-11-20,4291,6146108,5096,5540263,42346,1489965
region,London,E12000007,2021-11-19,4334,6141817,4285,5535167,35935,1447619
region,London,E12000007,2021-11-18,3781,6137483,3495,5530882,33669,1411684
region,London,E12000007,2021-11-17,3386,6133702,3952,5527387,33962,1378015
region,London,E12000007,2021-11-16,4096,6130316,3507,5523435,28797,1344053
region,London,E12000007,2021-11-15,4378,6126220,3735,5519928,26771,1315256
region,London,E12000007,2021-11-14,1636,6121842,2063,5516193,17673,1288485
region,London,E12000007,2021-11-13,4844,6120206,5524,5514130,45523,1270812
region,London,E12000007,2021-11-12,5270,6115362,4260,5508606,33395,1225289
region,London,E12000007,2021-11-11,4090,6110092,3948,5504346,35290,1191894
region,London,E12000007,2021-11-10,4198,6106002,3972,5500398,33219,1156604
region,London,E12000007,2021-11-09,4965,6101804,3739,5496426,28756,1123385
region,London,E12000007,2021-11-08,4720,6096839,4047,5492687,24168,1094629
region,London,E12000007,2021-11-07,2263,6092119,1956,5488640,13329,1070461
region,London,E12000007,2021-11-06,5171,6089856,5078,5486684,36460,1057132
region,London,E12000007,2021-11-05,6476,6084685,4108,5481606,29560,1020672
region,London,E12000007,2021-11-04,5932,6078209,3543,5477498,28057,991112
region,London,E12000007,2021-11-03,5840,6072277,4004,5473955,30296,963055
region,London,E12000007,2021-11-02,6170,6066437,3477,5469951,26147,932759
region,London,E12000007,2021-11-01,6777,6060267,3754,5466474,23498,906612
region,London,E12000007,2021-10-31,2704,6053490,1802,5462720,12493,883114
region,London,E12000007,2021-10-30,5343,6050786,5321,5460918,37294,870621
region,London,E12000007,2021-10-29,6063,6045443,4048,5455597,27307,833327
region,London,E12000007,2021-10-28,6367,6039380,4126,5451549,32933,806020
region,London,E12000007,2021-10-27,6546,6033013,4311,5447423,30228,773087
region,London,E12000007,2021-10-26,5693,6026467,4015,5443112,25445,742859
region,London,E12000007,2021-10-25,5384,6020774,4310,5439097,23972,717414
region,London,E12000007,2021-10-24,2725,6015390,2221,5434787,14348,693442
region,London,E12000007,2021-10-23,5175,6012665,6447,5432566,38960,679094
region,London,E12000007,2021-10-22,7676,6007490,4442,5426119,32727,640134
region,London,E12000007,2021-10-21,6240,5999814,4063,5421677,32914,607407
region,London,E12000007,2021-10-20,9058,5993574,4491,5417614,27718,574493
region,London,E12000007,2021-10-19,7376,5984516,4344,5413123,22407,546775
region,London,E12000007,2021-10-18,7722,5977140,4303,5408779,17715,524368
region,London,E12000007,2021-10-17,1533,5969418,2370,5404476,10896,506653
region,London,E12000007,2021-10-16,4019,5967885,6760,5402106,32419,495757
region,London,E12000007,2021-10-15,8302,5963866,5102,5395346,25595,463338
region,London,E12000007,2021-10-14,8301,5955564,4419,5390244,27314,437743
region,London,E12000007,2021-10-13,9205,5947263,4654,5385825,27491,410429
region,London,E12000007,2021-10-12,7227,5938058,4379,5381171,20560,382938
region,London,E12000007,2021-10-11,6258,5930831,4933,5376792,17606,362378
region,London,E12000007,2021-10-10,1704,5924573,2778,5371859,10608,344772
region,London,E12000007,2021-10-09,4166,5922869,6668,5369081,29670,334164
region,London,E12000007,2021-10-08,6361,5918703,5423,5362413,27027,304494
region,London,E12000007,2021-10-07,5570,5912342,4497,5356990,25810,277467
region,London,E12000007,2021-10-06,6143,5906772,4759,5352493,23898,251657
region,London,E12000007,2021-10-05,5560,5900629,4613,5347734,18122,227759
region,London,E12000007,2021-10-04,4856,5895069,4793,5343121,17340,209637
region,London,E12000007,2021-10-03,1762,5890213,2842,5338328,7910,192297
region,London,E12000007,2021-10-02,3818,5888451,6957,5335486,21085,184387
region,London,E12000007,2021-10-01,4748,5884633,5483,5328529,24096,163302
region,London,E12000007,2021-09-30,4264,5879885,5416,5323046,23119,139206
region,London,E12000007,2021-09-29,4142,5875621,5489,5317630,20841,116087
region,London,E12000007,2021-09-28,3913,5871479,5425,5312141,15671,95246
region,London,E12000007,2021-09-27,3586,5867566,6141,5306716,13430,79575
region,London,E12000007,2021-09-26,1546,5863980,3314,5300575,5309,66145
region,London,E12000007,2021-09-25,3788,5862434,8955,5297261,15393,60836
region,London,E12000007,2021-09-24,4044,5858646,6866,5288306,12804,45443
region,London,E12000007,2021-09-23,4679,5854602,7551,5281440,11146,32639
region,London,E12000007,2021-09-22,3770,5849923,7382,5273889,7609,21493
region,London,E12000007,2021-09-21,3555,5846153,7217,5266507,4522,13884
region,London,E12000007,2021-09-20,3616,5842598,8668,5259290,1505,9362
region,London,E12000007,2021-09-19,1876,5838982,4636,5250622,368,7857
region,London,E12000007,2021-09-18,4297,5837106,11396,5245986,1753,7489
region,London,E12000007,2021-09-17,3541,5832809,9952,5234590,1195,5736
region,London,E12000007,2021-09-16,3278,5829268,9549,5224638,525,4541
region,London,E12000007,2021-09-15,3379,5825990,9396,5215089,660,4016
region,London,E12000007,2021-09-14,3229,5822611,9438,5205693,102,3356
region,London,E12000007,2021-09-13,3252,5819382,10620,5196255,21,3254
region,London,E12000007,2021-09-12,1865,5816130,6039,5185635,33,3233
region,London,E12000007,2021-09-11,4285,5814265,14259,5179596,387,3200
region,London,E12000007,2021-09-10,3628,5809980,12349,5165337,22,2813
region,London,E12000007,2021-09-09,3603,5806352,13174,5152988,34,2791
region,London,E12000007,2021-09-08,3423,5802749,12250,5139814,17,2757
region,London,E12000007,2021-09-07,3372,5799326,12959,5127564,18,2740
region,London,E12000007,2021-09-06,3591,5795954,14578,5114605,19,2722
region,London,E12000007,2021-09-05,2455,5792363,9711,5100027,16,2703
