,date,daily_cases,daily_deaths,FirstDose,SecondDose,ThirdDose,covidOccupiedMVBeds,hospitalCases,newAdmissions
0,2022-04-01,4937.0,11.0,750,1986,2542.0,99.0,2448.0,
1,2022-03-31,5691.0,5.0,645,1558,2168.0,100.0,2434.0,
2,2022-03-30,7893.0,9.0,613,1573,2390.0,104.0,2330.0,231.0
3,2022-03-29,8356.0,18.0,533,1589,2465.0,109.0,2324.0,264.0
4,2022-03-28,9438.0,14.0,590,1603,2659.0,103.0,2266.0,263.0
5,2022-03-27,6876.0,0.0,241,928,1047.0,98.0,2118.0,219.0
6,2022-03-26,6324.0,0.0,929,3180,3321.0,105.0,2072.0,202.0
7,2022-03-25,7547.0,3.0,771,2205,3076.0,107.0,2110.0,181.0
8,2022-03-24,8513.0,15.0,595,1639,2409.0,109.0,2112.0,203.0
9,2022-03-23,9675.0,7.0,610,1457,2487.0,98.0,2089.0,211.0
10,2022-03-22,10018.0,8.0,618,1722,2707.0,99.0,2114.0,213.0
11,2022-03-21,10835.0,7.0,673,1710,2802.0,98.0,2074.0,217.0
12,2022-03-20,7626.0,0.0,388,1276,1478.0,96.0,1977.0,184.0
13,2022-03-19,6602.0,0.0,958,3470,3742.0,95.0,1934.0,211.0
14,2022-03-18,7731.0,10.0,764,2571,3264.0,97.0,1930.0,170.0
15,2022-03-17,8605.0,9.0,628,1854,2475.0,104.0,1920.0,201.0
16,2022-03-16,9235.0,9.0,615,1810,2535.0,102.0,1902.0,206.0
17,2022-03-15,9353.0,12.0,768,2366,3075.0,90.0,1867.0,199.0
18,2022-03-14,9879.0,9.0,796,2243,3160.0,87.0,1823.0,193.0
19,2022-03-13,7198.0,0.0,380,1435,1648.0,86.0,1728.0,168.0
20,2022-03-12,6262.0,0.0,1177,3765,4446.0,82.0,1632.0,166.0
21,2022-03-11,6808.0,3.0,841,2738,3501.0,87.0,1653.0,196.0
22,2022-03-10,7318.0,7.0,726,1857,2660.0,84.0,1619.0,177.0
23,2022-03-09,7687.0,7.0,692,1686,2634.0,91.0,1641.0,201.0
24,2022-03-08,7209.0,11.0,737,2148,2859.0,92.0,1624.0,143.0
25,2022-03-07,6991.0,4.0,727,1881,3016.0,92.0,1595.0,159.0
26,2022-03-06,5015.0,0.0,415,1240,1866.0,92.0,1496.0,165.0
27,2022-03-05,4218.0,0.0,1052,3295,4648.0,95.0,1476.0,133.0
28,2022-03-04,4603.0,4.0,1028,2586,3800.0,89.0,1529.0,129.0
29,2022-03-03,4921.0,16.0,758,1795,2770.0,93.0,1553.0,135.0
30,2022-03-02,5186.0,5.0,813,1690,2832.0,97.0,1573.0,153.0
31,2022-03-01,4816.0,12.0,841,2069,2983.0,96.0,1575.0,137.0
32,2022-02-28,4866.0,9.0,816,2092,3638.0,98.0,1579.0,134.0
33,2022-02-27,3201.0,0.0,513,1343,2114.0,92.0,1572.0,112.0
34,2022-02-26,2661.0,0.0,1341,3498,5188.0,88.0,1576.0,92.0
35,2022-02-25,3062.0,7.0,1200,3049,4741.0,94.0,1661.0,104.0
36,2022-02-24,3458.0,5.0,910,2141,3203.0,94.0,1712.0,116.0
37,2022-02-23,4157.0,9.0,1057,2647,3842.0,98.0,1776.0,106.0
38,2022-02-22,4648.0,8.0,1144,2632,4200.0,101.0,1809.0,125.0
39,2022-02-21,5413.0,1.0,956,1983,4204.0,98.0,1799.0,114.0
40,2022-02-20,4618.0,2.0,536,1289,1982.0,111.0,1829.0,111.0
41,2022-02-19,4421.0,12.0,1318,3011,5299.0,101.0,1832.0,106.0
42,2022-02-18,3408.0,13.0,816,1898,3524.0,106.0,1899.0,129.0
43,2022-02-17,5289.0,7.0,1426,2751,4841.0,103.0,1972.0,149.0
44,2022-02-16,6050.0,21.0,1180,2417,4992.0,118.0,2004.0,144.0
45,2022-02-15,5776.0,16.0,1363,2530,5053.0,119.0,2031.0,137.0
46,2022-02-14,6053.0,0.0,1227,2456,5329.0,132.0,2071.0,160.0
47,2022-02-13,4387.0,8.0,713,1829,2605.0,129.0,2015.0,132.0
48,2022-02-12,4343.0,18.0,1804,4222,7757.0,133.0,2003.0,139.0
49,2022-02-11,5298.0,14.0,1521,3835,7654.0,137.0,2042.0,161.0
50,2022-02-10,6448.0,13.0,1167,2847,4844.0,137.0,2122.0,154.0
51,2022-02-09,7792.0,31.0,1416,3144,4701.0,137.0,2211.0,163.0
52,2022-02-08,8384.0,25.0,1374,2759,5165.0,139.0,2291.0,178.0
53,2022-02-07,9027.0,3.0,1392,2773,5718.0,143.0,2310.0,186.0
54,2022-02-06,7069.0,10.0,802,2079,3102.0,139.0,2262.0,175.0
55,2022-02-05,6450.0,26.0,1840,4440,7451.0,144.0,2230.0,158.0
56,2022-02-04,7539.0,17.0,1670,3358,6232.0,152.0,2321.0,175.0
57,2022-02-03,9218.0,27.0,1533,2740,6096.0,152.0,2370.0,195.0
58,2022-02-02,10704.0,47.0,1716,2843,5764.0,158.0,2451.0,218.0
59,2022-02-01,11070.0,141.0,1718,2925,6034.0,159.0,2468.0,199.0
60,2022-01-31,11947.0,0.0,1846,2907,6824.0,158.0,2492.0,185.0
61,2022-01-30,9835.0,15.0,1498,3057,4412.0,176.0,2448.0,175.0
62,2022-01-29,8725.0,32.0,3128,6109,10577.0,168.0,2466.0,176.0
63,2022-01-28,9906.0,27.0,2646,4438,8992.0,164.0,2537.0,185.0
64,2022-01-27,11568.0,48.0,2239,3539,7999.0,166.0,2602.0,188.0
65,2022-01-26,13077.0,48.0,2103,3284,8448.0,176.0,2685.0,226.0
66,2022-01-25,13238.0,34.0,2067,3431,8515.0,180.0,2762.0,213.0
67,2022-01-24,14405.0,5.0,2008,4015,9471.0,185.0,2792.0,231.0
68,2022-01-23,11343.0,7.0,1344,3581,5966.0,183.0,2743.0,230.0
69,2022-01-22,9637.0,38.0,3376,7134,14525.0,184.0,2677.0,183.0
70,2022-01-21,10709.0,42.0,2774,4660,11879.0,189.0,2918.0,210.0
71,2022-01-20,12019.0,35.0,2437,3638,10204.0,191.0,3059.0,224.0
72,2022-01-19,13015.0,52.0,2506,3261,10364.0,197.0,3179.0,285.0
73,2022-01-18,13871.0,51.0,2501,3277,11240.0,214.0,3385.0,301.0
74,2022-01-17,15120.0,10.0,2412,3505,11663.0,219.0,3537.0,235.0
75,2022-01-16,11244.0,15.0,1795,3610,8356.0,211.0,3464.0,304.0
