areaCode,areaName,areaType,date,covidOccupiedMVBeds,hospitalCases,newAdmissions,newAdmissionsRollingSum
E40000003,London,nhsRegion,2022-04-01,99,2448,,
E40000003,London,nhsRegion,2022-03-31,100,2434,,
E40000003,London,nhsRegion,2022-03-30,104,2330,231,1563
E40000003,London,nhsRegion,2022-03-29,109,2324,264,1543
E40000003,London,nhsRegion,2022-03-28,103,2266,263,1492
E40000003,London,nhsRegion,2022-03-27,98,2118,219,1446
E40000003,London,nhsRegion,2022-03-26,105,2072,202,1411
E40000003,London,nhsRegion,2022-03-25,107,2110,181,1420
E40000003,London,nhsRegion,2022-03-24,109,2112,203,1409
E40000003,London,nhsRegion,2022-03-23,98,2089,211,1407
E40000003,London,nhsRegion,2022-03-22,99,2114,213,1402
E40000003,London,nhsRegion,2022-03-21,98,2074,217,1388
E40000003,London,nhsRegion,2022-03-20,96,1977,184,1364
E40000003,London,nhsRegion,2022-03-19,95,1934,211,1348
E40000003,London,nhsRegion,2022-03-18,97,1930,170,1303
E40000003,London,nhsRegion,2022-03-17,104,1920,201,1329
E40000003,London,nhsRegion,2022-03-16,102,1902,206,1305
E40000003,London,nhsRegion,2022-03-15,90,1867,199,1300
E40000003,London,nhsRegion,2022-03-14,87,1823,193,1244
E40000003,London,nhsRegion,2022-03-13,86,1728,168,1210
E40000003,London,nhsRegion,2022-03-12,82,1632,166,1207
E40000003,London,nhsRegion,2022-03-11,87,1653,196,1174
E40000003,London,nhsRegion,2022-03-10,84,1619,177,1107
E40000003,London,nhsRegion,2022-03-09,91,1641,201,1065
E40000003,London,nhsRegion,2022-03-08,92,1624,143,1017
E40000003,London,nhsRegion,2022-03-07,92,1595,159,1011
E40000003,London,nhsRegion,2022-03-06,92,1496,165,986
E40000003,London,nhsRegion,2022-03-05,95,1476,133,933
E40000003,London,nhsRegion,2022-03-04,89,1529,129,892
E40000003,London,nhsRegion,2022-03-03,93,1553,135,867
E40000003,London,nhsRegion,2022-03-02,97,1573,153,848
E40000003,London,nhsRegion,2022-03-01,96,1575,137,801
E40000003,London,nhsRegion,2022-02-28,98,1579,134,789
E40000003,London,nhsRegion,2022-02-27,92,1572,112,769
E40000003,London,nhsRegion,2022-02-26,88,1576,92,768
E40000003,London,nhsRegion,2022-02-25,94,1661,104,782
E40000003,London,nhsRegion,2022-02-24,94,1712,116,807
E40000003,London,nhsRegion,2022-02-23,98,1776,106,840
E40000003,London,nhsRegion,2022-02-22,101,1809,125,878
E40000003,London,nhsRegion,2022-02-21,98,1799,114,890
E40000003,London,nhsRegion,2022-02-20,111,1829,111,936
E40000003,London,nhsRegion,2022-02-19,101,1832,106,957
E40000003,London,nhsRegion,2022-02-18,106,1899,129,990
E40000003,London,nhsRegion,2022-02-17,103,1972,149,1022
E40000003,London,nhsRegion,2022-02-16,118,2004,144,1027
E40000003,London,nhsRegion,2022-02-15,119,2031,137,1046
E40000003,London,nhsRegion,2022-02-14,132,2071,160,1087
E40000003,London,nhsRegion,2022-02-13,129,2015,132,1113
E40000003,London,nhsRegion,2022-02-12,133,2003,139,1156
E40000003,London,nhsRegion,2022-02-11,137,2042,161,1175
E40000003,London,nhsRegion,2022-02-10,137,2122,154,1189
E40000003,London,nhsRegion,2022-02-09,137,2211,163,1230
E40000003,London,nhsRegion,2022-02-08,139,2291,178,1285
E40000003,London,nhsRegion,2022-02-07,143,2310,186,1306
E40000003,London,nhsRegion,2022-02-06,139,2262,175,1305
E40000003,London,nhsRegion,2022-02-05,144,2230,158,1305
E40000003,London,nhsRegion,2022-02-04,152,2321,175,1323
E40000003,London,nhsRegion,2022-02-03,152,2370,195,1333
E40000003,London,nhsRegion,2022-02-02,158,2451,218,1326
E40000003,London,nhsRegion,2022-02-01,159,2468,199,1334
E40000003,London,nhsRegion,2022-01-31,158,2492,185,1348
E40000003,London,nhsRegion,2022-01-30,176,2448,175,1394
E40000003,London,nhsRegion,2022-01-29,168,2466,176,1449
E40000003,London,nhsRegion,2022-01-28,164,2537,185,1456
E40000003,London,nhsRegion,2022-01-27,166,2602,188,1481
E40000003,London,nhsRegion,2022-01-26,176,2685,226,1517
E40000003,London,nhsRegion,2022-01-25,180,2762,213,1576
E40000003,London,nhsRegion,2022-01-24,185,2792,231,1664
E40000003,London,nhsRegion,2022-01-23,183,2743,230,1668
E40000003,London,nhsRegion,2022-01-22,184,2677,183,1742
E40000003,London,nhsRegion,2022-01-21,189,2918,210,1812
E40000003,London,nhsRegion,2022-01-20,191,3059,224,1878
E40000003,London,nhsRegion,2022-01-19,197,3179,285,1958
E40000003,London,nhsRegion,2022-01-18,214,3385,301,1979
E40000003,London,nhsRegion,2022-01-17,219,3537,235,1992
E40000003,London,nhsRegion,2022-01-16,211,3464,304,2092
E40000003,London,nhsRegion,2022-01-15,204,3464,253,2065
E40000003,London,nhsRegion,2022-01-14,204,3572,276,2119
E40000003,London,nhsRegion,2022-01-13,217,3662,304,2155
E40000003,London,nhsRegion,2022-01-12,228,3797,306,2161
E40000003,London,nhsRegion,2022-01-11,219,3826,314,2221
E40000003,London,nhsRegion,2022-01-10,225,3930,335,2274
E40000003,London,nhsRegion,2022-01-09,224,3867,277,2340
E40000003,London,nhsRegion,2022-01-08,220,3819,307,2410
E40000003,London,nhsRegion,2022-01-07,224,3989,312,2417
E40000003,London,nhsRegion,2022-01-06,242,4053,310,2424
E40000003,London,nhsRegion,2022-01-05,236,4074,366,2564
E40000003,London,nhsRegion,2022-01-04,245,3993,367,2709
E40000003,London,nhsRegion,2022-01-03,238,3848,401,2798
E40000003,London,nhsRegion,2022-01-02,230,3744,347,2834
E40000003,London,nhsRegion,2022-01-01,229,3666,314,2861
E40000003,London,nhsRegion,2021-12-31,238,3636,319,2911
E40000003,London,nhsRegion,2021-12-30,232,3477,450,2870
E40000003,London,nhsRegion,2021-12-29,229,3310,511,2810
E40000003,London,nhsRegion,2021-12-28,216,3024,456,2685
E40000003,London,nhsRegion,2021-12-27,232,2640,437,2536
E40000003,London,nhsRegion,2021-12-26,224,2425,374,2400
E40000003,London,nhsRegion,2021-12-25,213,2295,364,2271
E40000003,London,nhsRegion,2021-12-24,207,2260,278,2117
E40000003,London,nhsRegion,2021-12-23,196,2097,390,2059
E40000003,London,nhsRegion,2021-12-22,198,2036,386,1862
E40000003,London,nhsRegion,2021-12-21,201,1904,307,1677
E40000003,London,nhsRegion,2021-12-20,206,1819,301,1569
E40000003,London,nhsRegion,2021-12-19,210,1666,245,1437
E40000003,London,nhsRegion,2021-12-18,201,1573,210,1349
E40000003,London,nhsRegion,2021-12-17,208,1534,220,1305
E40000003,London,nhsRegion,2021-12-16,199,1460,193,1247
E40000003,London,nhsRegion,2021-12-15,195,1372,201,1196
E40000003,London,nhsRegion,2021-12-14,194,1349,199,1127
E40000003,London,nhsRegion,2021-12-13,203,1360,169,1076
E40000003,London,nhsRegion,2021-12-12,197,1253,157,1018
E40000003,London,nhsRegion,2021-12-11,199,1185,166,981
E40000003,London,nhsRegion,2021-12-10,201,1193,162,931
