areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesBySpecimenDate,newCasesBySpecimenDateRollingSum
E12000007,London,region,2022-04-01,7514,,
E12000007,London,region,2022-03-31,7254,2757,
E12000007,London,region,2022-03-30,9905,6283,
E12000007,London,region,2022-03-29,7276,8051,
E12000007,London,region,2022-03-28,23771,9389,
E12000007,London,region,2022-03-27,0,6866,59764
E12000007,London,region,2022-03-26,0,6321,60524
E12000007,London,region,2022-03-25,7117,7546,60807
E12000007,London,region,2022-03-24,9722,8509,60992
E12000007,London,region,2022-03-23,10338,9676,61088
E12000007,London,region,2022-03-22,8420,10013,60640
E12000007,London,region,2022-03-21,23364,10833,59961
E12000007,London,region,2022-03-20,0,7626,58997
E12000007,London,region,2022-03-19,0,6604,58566
E12000007,London,region,2022-03-18,8430,7731,58224
E12000007,London,region,2022-03-17,9490,8605,57293
E12000007,London,region,2022-03-16,9644,9228,55997
E12000007,London,region,2022-03-15,7660,9334,54453
E12000007,London,region,2022-03-14,21163,9869,52326
E12000007,London,region,2022-03-13,0,7195,49448
E12000007,London,region,2022-03-12,0,6262,47268
E12000007,London,region,2022-03-11,7412,6800,45224
E12000007,London,region,2022-03-10,7479,7309,43027
E12000007,London,region,2022-03-09,6706,7684,40639
E12000007,London,region,2022-03-08,5951,7207,38141
E12000007,London,region,2022-03-07,14043,6991,35750
E12000007,London,region,2022-03-06,0,5015,33625
E12000007,London,region,2022-03-05,0,4218,31811
E12000007,London,region,2022-03-04,4959,4603,30254
E12000007,London,region,2022-03-03,4900,4921,28713
E12000007,London,region,2022-03-02,4917,5186,27250
E12000007,London,region,2022-03-01,3950,4816,26221
E12000007,London,region,2022-02-28,9130,4866,26052
E12000007,London,region,2022-02-27,0,3201,26599
E12000007,London,region,2022-02-26,0,2661,28016
E12000007,London,region,2022-02-25,3929,3062,29776
E12000007,London,region,2022-02-24,4434,3458,30122
E12000007,London,region,2022-02-23,4890,4157,31953
E12000007,London,region,2022-02-22,4856,4647,33846
E12000007,London,region,2022-02-21,4971,5413,34975
E12000007,London,region,2022-02-20,3382,4618,35615
E12000007,London,region,2022-02-19,4821,4421,35384
E12000007,London,region,2022-02-18,5582,3408,35306
E12000007,London,region,2022-02-17,5921,5289,37196
E12000007,London,region,2022-02-16,6153,6050,38355
E12000007,London,region,2022-02-15,5174,5776,40097
E12000007,London,region,2022-02-14,4347,6053,42705
E12000007,London,region,2022-02-13,4864,4387,45679
E12000007,London,region,2022-02-12,5775,4343,48361
E12000007,London,region,2022-02-11,7102,5298,50468
E12000007,London,region,2022-02-10,7933,6448,52708
